# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
萬用填充項擠壓-跨領域(高信心),儲備幼兒園園長-桃園市各區,園長,教保員／保育員,幼教老師,托育中心主任／主管,補習班主任／主管,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,補習班主任／主管,餐飲主管,儲備幹部,侍酒師,補習班主任／主管,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,餐飲主管,儲備幹部,侍酒師
萬用填充項擠壓-同領域,🥪【日班餐廚助手】月薪33500-45000元🥪餐飲服務人員／組裝麵包區人員　★下午２點就下班，時間好調配★意者來電0958-150526楊先生約面試,餐飲服務人員,餐廚助手,麵包師,鐵板燒廚師,中式麵點人員／師傅,調酒師／吧台人員,冷熱飲調製人員,生鮮處理人員,智慧製程工程師,洗碗人員,包裝員／作業員,品管人員,西式廚師,麵包師,餐廚助手,麵包師,調酒師／吧台人員,冷熱飲調製人員,生鮮處理人員,智慧製程工程師,洗碗人員,包裝員／作業員,品管人員,西式廚師,餐廚助手
,【電洽 0958819832石先生】科技廠區配管技師,水電工,水電工程師,電信／配線繪圖,工程配管繪圖,消防專業人員,電機技師／工程師,電機設備裝配員,砌磚工及砌石工,塑膠押出技術人員,壓鑄模具技術人員,模具技術人員,水電工,智慧製程工程師,塑膠模具技術人員,放電加工技術人員,水電工,電機技師／工程師,電機設備裝配員,砌磚工及砌石工,塑膠押出技術人員,壓鑄模具技術人員,模具技術人員,智慧製程工程師,塑膠模具技術人員,放電加工技術人員
,維修人員,產品設備維修人員,電器產品維修人員,電子設備維修人員,電機維修人員,保全工程技術人員,檢驗人員,維修技術人員,汽車檢驗員,品管人員,智慧製程工程師,電機技師／工程師,木工,水電工,包裝員／作業員,電器產品維修人員,電器產品維修人員,檢驗人員,維修技術人員,汽車檢驗員,品管人員,智慧製程工程師,電機技師／工程師,木工,水電工,包裝員／作業員
萬用填充項擠壓-跨領域(高信心),【美麗華旗艦店】哈根達斯Haagen-Dazs店襄理,門市／店員／專櫃人員,儲備幹部,餐飲服務人員,,,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,門市／店員／專櫃人員,餐飲服務人員,侍酒師,外送人員,飯店／旅館服務人員,門市／店員／專櫃人員,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,餐飲服務人員,侍酒師,外送人員,飯店／旅館服務人員
萬用填充項擠壓-同領域,Selfish Burger-【連鎖餐飲集團 儲備幹部】★薪資33K~37K★供員餐,餐飲領班,儲備幹部,餐飲服務人員,,,調酒師／吧台人員,西式廚師,品管／品保主管,餐飲主管,冷熱飲調製人員,餐飲服務人員,餐廚助手,其他料理廚師,門市／店員／專櫃人員,店長／門市管理人員,餐飲服務人員,調酒師／吧台人員,西式廚師,品管／品保主管,餐飲主管,冷熱飲調製人員,餐廚助手,其他料理廚師,門市／店員／專櫃人員,店長／門市管理人員
萬用填充項擠壓-同領域,【餐飲服務部】儲備幹部 (月休8-10天 比照勞基法),餐飲領班,儲備幹部,餐飲服務人員,,,調酒師／吧台人員,餐飲主管,店長／門市管理人員,品管／品保主管,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,儲備幹部,樓面管理人員,售票／收銀人員,儲備幹部,調酒師／吧台人員,餐飲主管,店長／門市管理人員,品管／品保主管,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,樓面管理人員,售票／收銀人員
萬用填充項擠壓-同領域,"【八和和牛燒肉-敦北店】一頭班 外場儲備幹部，薪資 $40,000~55,000 + (另享每季分紅獎金$6000~27000)",餐飲領班,儲備幹部,餐飲服務人員,,,西式廚師,調酒師／吧台人員,其他料理廚師,品管／品保主管,餐廚助手,麵包師,餐飲服務人員,冷熱飲調製人員,餐飲主管,侍酒師,餐飲服務人員,西式廚師,調酒師／吧台人員,其他料理廚師,品管／品保主管,餐廚助手,麵包師,冷熱飲調製人員,餐飲主管,侍酒師
萬用填充項擠壓-同領域,"【黑武士特色老火鍋-信義店】外場儲備幹部，薪資 $40,000~55,000 + (另享每季分紅獎金$6000~27000)",餐飲領班,儲備幹部,餐飲服務人員,,,調酒師／吧台人員,餐飲主管,侍酒師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,門市／店員／專櫃人員,儲備幹部,飯店／旅館服務人員,售票／收銀人員,儲備幹部,調酒師／吧台人員,餐飲主管,侍酒師,品管／品保主管,店長／門市管理人員,冷熱飲調製人員,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員
萬用填充項擠壓-跨領域(高信心),徵高薪工讀生瑞哥雞肉飯(南京店)近南京三民站,售票／收銀人員,工讀生,餐飲服務人員,,,飯店／旅館服務人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,遊樂景點工作人員,外送人員,藥師助理,侍酒師,工讀生,售票／收銀人員,工讀生,飯店／旅館服務人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,遊樂景點工作人員,外送人員,藥師助理,侍酒師,售票／收銀人員
萬用填充項擠壓-同領域,紅花鐵板燒-[主任]  新光三越-A4館,餐飲主管,儲備幹部,餐飲服務人員,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,品管／品保主管,麵包師,西式廚師,門市／店員／專櫃人員,餐廚助手,日式廚師,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,品管／品保主管,麵包師,西式廚師,門市／店員／專櫃人員,餐廚助手,日式廚師
萬用填充項擠壓-跨領域(高信心),雪坊優格早班兼職-和平東店/時薪215元,門市／店員／專櫃人員,工讀生,餐飲服務人員,,,調酒師／吧台人員,冷熱飲調製人員,外送人員,飯店／旅館服務人員,侍酒師,洗碗人員,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,售票／收銀人員,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,外送人員,飯店／旅館服務人員,侍酒師,洗碗人員,餐廚助手,餐飲服務人員,售票／收銀人員
萬用填充項擠壓-跨領域(高信心),【SOGO中壢店】哈根達斯Haagen-Dazs門市店襄理,門市／店員／專櫃人員,儲備幹部,餐飲服務人員,,,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,侍酒師,藥師助理,中式廚師,餐飲服務人員,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,門市／店員／專櫃人員,侍酒師,藥師助理,中式廚師
萬用填充項擠壓-同領域,韓國八色烤肉★台中三井店★-外場儲備領班【薪資40000元起】持有餐飲證照再額外加給!!,餐飲主管,儲備幹部,餐飲服務人員,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,品管／品保主管,餐飲領班,餐飲主管,飯店／旅館服務人員,日式廚師,餐飲服務人員,餐飲主管,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,品管／品保主管,餐飲領班,飯店／旅館服務人員,日式廚師,餐飲服務人員
,冷氣半技師,冷凍空調技術人員／安裝員,水電工,水電工程師,電器產品維修人員,技術人員,放電加工技術人員,智慧製程工程師,電機技師／工程師,CNC車床人員,電機設備裝配員,水電工,技術人員,汽車檢驗員,塑膠押出技術人員,模具技術人員,水電工,放電加工技術人員,智慧製程工程師,電機技師／工程師,CNC車床人員,電機設備裝配員,技術人員,汽車檢驗員,塑膠押出技術人員,模具技術人員
,塑膠焊接技術人員 / 學徒(💰💰月薪平均45600元~68400元💰💰),學徒,焊接技術人員,組裝組立技術人員,營建雜工／粗工,技術人員,電機技師／工程師,電機設備裝配員,CNC車床人員,壓鑄模具技術人員,塑膠押出技術人員,塑膠模具技術人員,技術人員,模具技術人員,雷射技術操作員,水電工,技術人員,電機技師／工程師,電機設備裝配員,CNC車床人員,壓鑄模具技術人員,塑膠押出技術人員,塑膠模具技術人員,模具技術人員,雷射技術操作員,水電工
,CNC技術工程師,CNC程式設計師,CNC車床人員,機械加工技術人員,機械操作人員,技術人員,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠模具技術人員,塑膠押出技術人員,PLC／自動控制工程師,水電工,CNC車床人員,技術人員,CNC車床人員,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠模具技術人員,塑膠押出技術人員,PLC／自動控制工程師,水電工,技術人員
,半自動 鑽孔作業員(意者請直接電洽),CNC車床人員,CNC銑床人員,機械加工技術人員,機械操作人員,技術人員,倉管／物料管理員,倉儲物流人員,資材人員,生鮮處理人員,智慧製程工程師,包裝員／作業員,資材主管,CNC車床人員,木工,理貨人員,CNC車床人員,倉管／物料管理員,倉儲物流人員,資材人員,生鮮處理人員,智慧製程工程師,包裝員／作業員,資材主管,木工,理貨人員
,CNC銑床半技工,CNC銑床人員,傳統銑床人員,機械加工技術人員,機械操作人員,技術人員,CNC車床人員,壓鑄模具技術人員,放電加工技術人員,傳統車床人員,沖床人員,塑膠押出技術人員,傳統銑床人員,汽車檢驗員,智慧製程工程師,線切割技術人員,傳統銑床人員,CNC車床人員,壓鑄模具技術人員,放電加工技術人員,傳統車床人員,沖床人員,塑膠押出技術人員,汽車檢驗員,智慧製程工程師,線切割技術人員
,【可立即上班/週休二日】自動門工程師傅,電機維修人員,機械操作人員,組裝組立技術人員,電機技師／工程師,技術人員,PLC／自動控制工程師,工業設計,機構工程師,BIOS工程師,智慧製程工程師,電機技師／工程師,電機設備裝配員,零組件工程師,熱傳工程師,可靠度工程師,電機技師／工程師,PLC／自動控制工程師,工業設計,機構工程師,BIOS工程師,智慧製程工程師,電機設備裝配員,零組件工程師,熱傳工程師,可靠度工程師
,07:30~16:30中鋼駐廠機械維護人員(周休二日),技術人員,線切割技術人員,焊接技術人員,吊車／起重機相關操作人員,產品設備維修人員,汽車維修人員,電機維修人員,飛機修護員,電子設備維修人員,機械加工技術人員,維修技術人員,技術人員,電機設備裝配員,CNC車床人員,機械工程師,技術人員,汽車維修人員,電機維修人員,飛機修護員,電子設備維修人員,機械加工技術人員,維修技術人員,電機設備裝配員,CNC車床人員,機械工程師
,空壓機維修學徒(廣告商勿擾,學徒,電機維修人員,包裝員／作業員,技術人員,產品設備維修人員,通信維修人員,CNC車床人員,機車維修人員,油漆工,雷射技術操作員,壓鑄模具技術人員,水電工,電機設備裝配員,PCB技術人員,技術人員,技術人員,通信維修人員,CNC車床人員,機車維修人員,油漆工,雷射技術操作員,壓鑄模具技術人員,水電工,電機設備裝配員,PCB技術人員
,機器攪拌技術員,技術人員,包裝員／作業員,機械操作人員,組裝組立技術人員,產品設備維修人員,塑膠押出技術人員,電機技師／工程師,電機設備裝配員,智慧製程工程師,CNC車床人員,模具技術人員,汽車檢驗員,塑膠模具技術人員,技術人員,水電工,技術人員,塑膠押出技術人員,電機技師／工程師,電機設備裝配員,智慧製程工程師,CNC車床人員,模具技術人員,汽車檢驗員,塑膠模具技術人員,水電工
,車床人員與學徒/西工/機械技術員與學徒,技術人員,包裝員／作業員,機械操作人員,組裝組立技術人員,產品設備維修人員,CNC車床人員,機車維修人員,電機設備裝配員,電機技師／工程師,汽車檢驗員,壓鑄模具技術人員,水電工,技術人員,模具技術人員,塑膠押出技術人員,技術人員,CNC車床人員,機車維修人員,電機設備裝配員,電機技師／工程師,汽車檢驗員,壓鑄模具技術人員,水電工,模具技術人員,塑膠押出技術人員
