# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
鋼構磨工人員,金屬建材架構人員,焊接技術人員,機械操作人員,鈑金技術人員,傳統車床人員,拋光／研磨技術人員,營建雜工／粗工,,,,推薦項目命中率改善
櫃台醫美師,醫美諮詢師,美容助理,美療師／芳療師,美容講師／技導,推拿／按摩師,美容師,總機／接待／櫃檯人員,門市／店員／專櫃人員,診所助理,,推薦項目命中率改善
正職人員,公家機關相關人員,日式廚師,餐飲服務人員,餐廚助手,中／港式點心廚師,冷熱飲調製人員,門市／店員／專櫃人員,售票／收銀人員,,,推薦項目命中率改善
業務設計助理 (北區),商業設計,商化人員,櫥窗／會場設計人員,不動產／商場開發人員,都市／交通規劃人員,內業工程人員,工務助理,業務助理,設計助理,,推薦項目命中率改善
半技工,學徒,防水施工人員,金屬建材架構人員,模板工程人員,鈑金技術人員,水電工,營建雜工／粗工,,,,推薦項目命中率改善
服務零件部工程師(台北總公司),生產設備工程師,產品設備維修人員,生產線工程師,FAE工程師,廠務助理,零組件工程師,機械工程師,汽車引擎技術人員,組裝組立技術人員,,推薦項目命中率改善
早班服務員(8-20點),餐飲服務人員,飯店／旅館工作人員,餐飲領班,洗碗人員,工讀生,休閒娛樂事業從業人員,遊樂景點工作人員,售票／收銀人員,門市／店員／專櫃人員,,推薦項目命中率改善
早班服務員,餐飲服務人員,飯店／旅館工作人員,餐飲領班,洗碗人員,工讀生,休閒娛樂事業從業人員,遊樂景點工作人員,售票／收銀人員,門市／店員／專櫃人員,,推薦項目命中率改善
"堆高機倉管人員(日班,週休二日,另發三節.紅利.年終獎金)",堆高機操作人員,挖土／推土機相關操作人員,吊車／起重機相關操作人員,重機械操作人員,大客車司機,倉管／物料管理員,倉儲物流人員,資材人員,廠務,,推薦項目命中率改善
辦公室助理人員,行政人員,公家機關相關人員,醫院行政管理人員,總機／接待／櫃檯人員,秘書,業務助理,行政助理,國貿助理,廠務,,推薦項目命中率改善
生產排程文書助理,檔案資料管理人員,校對人員,發包人員,廠務助理,圖書管理人員,電腦操作／資料輸入,行政人員,行政助理,生管／助理,,推薦項目命中率改善
機器設備-維修人員(可無經驗，月薪4萬3千5起).,維修技術人員,半導體設備工程師,精密儀器製造維修人員,產品設備維修人員,電器產品維修人員,技術人員,汽車維修人員,學徒,組裝組立技術人員,,推薦項目命中率改善
機器設備-維修人員(可無經驗，月薪4萬3千5起).,維修技術人員,半導體設備工程師,精密儀器製造維修人員,產品設備維修人員,電器產品維修人員,技術人員,汽車維修人員,學徒,組裝組立技術人員,,推薦項目命中率改善
技術員,包裝員／作業員,維修技術人員,產品設備維修人員,PCB技術人員,機械設備組裝測試人員,技術人員,機械操作人員,學徒,組裝組立技術人員,,推薦項目命中率改善
配電盤技術人員(無經驗可),PCB技術人員,機械設備組裝測試人員,電子設備維修人員,包裝員／作業員,維修技術人員,水電工,電機設備裝配員,電機技師／工程師,組裝組立技術人員,,推薦項目命中率改善
電梯工程技師,機械設備組裝測試人員,維修技術人員,機械工程師,半導體設備工程師,機械加工技術人員,電機維修人員,PLC／自動控制工程師,電機技師／工程師,焊接技術人員,,推薦項目命中率改善
英語助教,英文翻譯,語文補習班老師,作文老師,日文翻譯,德文翻譯,工讀生,升學補習班老師,,,,推薦項目命中率改善
英文助教,助教,語文補習班老師,英文翻譯,作文老師,日文翻譯,安親課輔老師,升學補習班老師,,,,推薦項目命中率改善
"【AI科技產業上游】/儀電技術人員★平均月薪37,000-41,000以上★固定班可★每週一至週四隨到隨談★",電源工程師,產品設備維修人員,電機維修人員,通信維修人員,維修技術人員,電子設備維修人員,水電工,,,,推薦項目命中率改善
臨時支援技工,學徒,維修技術人員,產品設備維修人員,防水施工人員,機械設備組裝測試人員,技術人員,水電工,,,,推薦項目命中率改善
【樂多多集團】工程部-專職冷氣技師(中部) - 米其林指標/有熱情、挑戰米其林等級夥伴,冷凍空調技術人員／安裝員,電器產品維修人員,維修技術主管,弱電工程師,鍋爐相關人員,水電工程師,水電工,,,,推薦項目命中率改善
Busway(匯流排)安裝技工(北區),防水施工人員,學徒,金屬建材架構人員,模板工程人員,砌磚工及砌石工,水電工程師,水電工,,,,推薦項目命中率改善
備料人員(下午3點到下午5點或6點),包裝員／作業員,染印人員,噴漆技術人員,技術人員,實驗／化驗人員,餐廚助手,餐飲服務人員,其他料理廚師,生鮮處理人員,,推薦項目命中率改善
店內機動人員,建築物清潔人員,保全人員／警衛,志願役軍官／士官／士兵,管理員,隨扈／特勤,餐飲服務人員,門市／店員／專櫃人員,餐廚助手,生鮮處理人員,,推薦項目命中率改善
(竹南區)現場施工人員（師傅／半技／學徒),防水施工人員,砌磚工及砌石工,模板工程人員,泥水工相關人員,營建雜工／粗工,水電工程師,水電工,,,,推薦項目命中率改善
(桃園區)現場施工人員（師傅／半技／學徒),砌磚工及砌石工,防水施工人員,模板工程人員,泥水工相關人員,營建雜工／粗工,水電工程師,水電工,,,,推薦項目命中率改善
工程技術員【津貼另計、無經驗可從頭教起】,維修技術人員,機械設備組裝測試人員,半導體設備工程師,電子設備維修人員,精密儀器製造維修人員,水電工程師,水電工,,,,推薦項目命中率改善
【電洽優先】天然氣瓦斯配管技術員,天然瓦斯配管技師/助理,金屬建材架構人員,焊接技術人員,組裝組立技術人員,學徒,水電工,水電工程師,,,,推薦項目命中率改善
Busway(匯流排)安裝技工(中區),防水施工人員,學徒,金屬建材架構人員,模板工程人員,砌磚工及砌石工,水電工程師,水電工,,,,推薦項目命中率改善
塑膠焊接工程技師,焊接技術人員,金屬建材架構人員,鈑金技術人員,機械加工技術人員,鉗工,水電工,水電工程師,,,,推薦項目命中率改善
【施工人員】配管工程,防水施工人員,砌磚工及砌石工,金屬建材架構人員,模板工程人員,學徒,水電工,水電工程師,,,,推薦項目命中率改善
Busway(匯流排)安裝技工(南區),防水施工人員,學徒,金屬建材架構人員,模板工程人員,砌磚工及砌石工,水電工程師,水電工,,,,推薦項目命中率改善
【樂多多集團】工程部-專職木工人員(中部) - 米其林指標/有熱情、挑戰米其林等級夥伴,木工,模板工程人員,防水施工人員,裝潢工程人員,砌磚工及砌石工,水電工程師,水電工,,,,推薦項目命中率改善
【樂多多集團】工程部-專職木工人員(北部) - 米其林指標/有熱情、挑戰米其林等級夥伴,木工,模板工程人員,防水施工人員,裝潢工程人員,砌磚工及砌石工,水電工程師,水電工,,,,推薦項目命中率改善
PP.PVC配管助手,焊接技術人員,天然瓦斯配管技師/助理,金屬建材架構人員,PCB技術人員,塗裝技術人員,工程配管繪圖,水電工,,,,推薦項目命中率改善
3C包膜師【需有經驗】,美療師／芳療師,美容助理,醫美諮詢師,推拿／按摩師,紋繡師,手機包膜師,門市／店員／專櫃人員,,,,推薦項目命中率改善
🍀青花驕台北光復南店🍀大廳見習襄理/廚藝助理(集團用餐八折優惠、月績效獎金、國外旅遊、年調薪二次、年終獎金),中式廚師,其他料理廚師,日式廚師,鐵板燒廚師,中／港式點心廚師,餐飲服務人員,門市／店員／專櫃人員,,,,推薦項目命中率改善
安親教師,高中職教師,安親／課輔老師,國中教師,華語教師,日語教師,安親課輔老師,升學補習班老師,,,,推薦項目命中率改善
早餐廚師：«月薪37500~48500» (康橋商旅-台東館),中式廚師,其他料理廚師,日式廚師,鐵板燒廚師,中／港式點心廚師,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,推薦項目命中率改善
新竹遠百店｜44K-65K｜變臉師,美髮講師／技導,整體造型師,髮型設計師,美療師／芳療師,美容師,餐飲服務人員,門市／店員／專櫃人員,,,,推薦項目命中率改善
國小自然科教師,高中職教師,國中教師,英語教師,其他語系教師,日語教師,數理補習班老師,升學補習班老師,,,,推薦項目命中率改善
外場人員(意者電洽),餐飲服務人員,餐飲領班,飯店／旅館工作人員,餐飲主管,工讀生,餐廚助手,門市／店員／專櫃人員,,,,推薦項目命中率改善
(工讀生)水電技術人員/半技工(日薪1600起),學徒,水電工程師,搬運人員,冷凍空調技術人員／安裝員,天然瓦斯配管技師/助理,消防類相關人員,水電工,,,,推薦項目命中率改善
【誠聘】工務室技術員(兼職可),產品設備維修人員,電機維修人員,學徒,維修技術人員,冷凍空調技術人員／安裝員,水電工,水電工程師,,,,推薦項目命中率改善
服務中心服務人員,總機／接待／櫃檯人員,餐飲領班,公家機關相關人員,工讀生,餐飲服務人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,推薦項目命中率改善
(兼職) 游泳池救生員 - Life Guard(須具備體育署核准之救生員證照),救生員,游泳教練,運動教練,舞蹈健身老師,舞蹈演藝人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,,,,推薦項目命中率改善
機構設備維護專員,維修技術人員,機械工程師,機械設備組裝測試人員,產品設備維修人員,半導體設備工程師,水電工,水電工程師,,,,推薦項目命中率改善
職能治療師(復健組-愛新發展中心),護理師,專科護理師,護理長,語言治療師,麻醉醫師,職能治療師,物理治療師,,,,推薦項目命中率改善
職能治療師精神科(南勢),心理師,語言治療師,護理師,專科護理師,復健技術師,職能治療師,物理治療師,,,,推薦項目命中率改善
正職器械皮拉提斯老師,升學補習班老師,其他教育類老師,語文補習班老師,課業輔導老師,珠心算老師,運動教練,物理治療師,,,,推薦項目命中率改善
物理治療生(無夜診),護理長,復健技術師,專科護理師,護理師,照顧服務／指導員,其他醫療從業人員,物理治療師,,,,推薦項目命中率改善
職能治療師(復健組-成人中心),護理師,專科護理師,護理長,語言治療師,麻醉醫師,職能治療師,物理治療師,,,,推薦項目命中率改善
時薪/兼職工讀生,工讀生,安親／課輔老師,補習班招生人員,餐飲服務人員,外送人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
數學教師,高中職教師,國中教師,日語教師,華語教師,英語教師,數理補習班老師,升學補習班老師,,,,推薦項目命中率改善
(早班)外場服務人員,餐飲服務人員,飯店／旅館工作人員,餐飲領班,餐飲主管,工讀生,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
早班現場服務人員,餐飲服務人員,飯店／旅館工作人員,餐飲領班,工讀生,學徒,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
晚班外場(五甲店),餐飲服務人員,飯店／旅館工作人員,餐飲主管,餐飲領班,工讀生,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
(晚班)外場服務人員,餐飲服務人員,飯店／旅館工作人員,餐飲領班,餐飲主管,工讀生,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
早班服務人員(薪38000),餐飲服務人員,飯店／旅館工作人員,餐飲領班,洗碗人員,工讀生,門市／店員／專櫃人員,休閒娛樂事業從業人員,,,,推薦項目命中率改善
